id,recipeName,mealType,dietaryType,weightGoal,calories,protein,carbs,fat,fiber,sodium,cholesterol,preparationTime,serves,semantic_text,restrictions_str,ingredients_str,instructions_str,mealImageURL
68395ecea1f9120d4641a538,Turkey and Avocado Lettuce Wraps,lunch,non_vegetarian,weight_loss,340.0,36.0,12.0,18.0,5.0,550.0,80.0,20,2,Turkey and Avocado Lettuce Wraps Turkey and Avocado Lettuce Wraps Turkey and Avocado Lettuce Wraps Ground turkey Avocado Lettuce leaves Taco seasoning Olive oil Lime juice Salt Cilantro non_vegetarian,"gluten_free,nut_free,egg_free,lactose_free,low_carb,low_sugar,dairy_free",Ground turkey (200g); Avocado (½ (~70g)); Lettuce leaves (8); Taco seasoning (1 tsp); Olive oil (1 tsp); Lime juice (1 tsp); Salt (¼ tsp); Cilantro (1 tsp (optional)),"Step 1: Prepare Lettuce | Wash and pat dry 8 large lettuce leaves (e.g., romaine or butter lettuce), setting them aside. | Step 2: Cook Turkey | Heat 1 tsp olive oil in a skillet over medium heat, add 200g ground turkey, and cook for 5–6 minutes, breaking it apart until browned. | Step 3: Season Turkey | Add 1 tsp taco seasoning and ¼ tsp salt to the turkey, stirring for 1 minute to coat evenly. | Step 4: Prepare Avocado | Halve ½ avocado (~70g), remove the pit, scoop out the flesh, and mash lightly with a fork. | Step 5: Add Lime | Mix 1 tsp lime juice into the mashed avocado to enhance flavor and prevent browning. | Step 6: Assemble Wraps | Lay out lettuce leaves, spoon ~2 tbsp turkey mixture onto each, and top with a dollop of avocado. | Step 7: Garnish | Sprinkle 1 tsp chopped cilantro over the wraps for freshness. | Step 8: Serve | Fold or roll lettuce leaves around the filling, and serve immediately as a light lunch.",https://res.cloudinary.com/duegxp0u0/image/upload/v1748524791/muygga0iotpqtsfdphoy.jpg
68395eeaa1f9120d4641a5ef,Desi-Style Scrambled Tofu,breakfast,desi,weight_loss,140.0,10.0,8.0,8.0,2.0,200.0,0.0,20,1,Desi-Style Scrambled Tofu Desi-Style Scrambled Tofu Desi-Style Scrambled Tofu Firm Tofu Onion (chopped) Green Chili (chopped) Turmeric Powder Cumin Powder Coriander Powder Red Chili Powder Salt Olive Oil Fresh Coriander desi,"gluten_free,nut_free,egg_free,lactose_free,low_sodium,low_sugar,low_cholesterol,dairy_free","Firm Tofu (200g); Onion (chopped) (1 (100g)); Green Chili (chopped) (1 (5g)); Turmeric Powder (1/2 tsp (1g)); Cumin Powder (1/2 tsp (1g)); Coriander Powder (1 tsp (2g)); Red Chili Powder (1/2 tsp (1g)); Salt (To taste (0.5g, pinch)); Olive Oil (1 tsp (5g)); Fresh Coriander (For garnish (5g))","Step 1: Prepare the tofu: | Drain and crumble 200g firm tofu into small pieces with your hands. | Step 2: Heat the oil: | In a pan, heat 1 tsp olive oil over medium heat. | Step 3: Sauté aromatics: | Add 1 chopped onion, 1 chopped green chili, and 1 tsp ginger-garlic paste. Sauté until the onion turns golden. | Step 4: Add the tofu: | Add the crumbled tofu to the pan and stir well to mix with the sautéed ingredients. | Step 5: Cook the tofu: | Cook the tofu for 5-6 minutes, stirring occasionally so it doesn’t stick to the pan. | Step 6: Add the spices: | Add 1/2 tsp turmeric powder, 1/2 tsp cumin powder, 1 tsp coriander powder, 1/2 tsp red chili powder, and salt to taste. Mix well. | Step 7: Let flavors blend: | Cook for another 2-3 minutes to allow the spices to blend well with the tofu. | Step 8: Garnish and serve: | Garnish with chopped coriander and serve the scrambled tofu hot with roti or as a side dish.",https://res.cloudinary.com/duegxp0u0/image/upload/v1745168966/recipe_uploads/ee8txppjsumr1sk3ahzu.jpg
68395ebfa1f9120d4641a49c,Keto Chai Latte,breakfast,keto,weight_loss,230.0,2.0,3.0,24.0,0.0,20.0,15.0,5,1,Keto Chai Latte Keto Chai Latte Keto Chai Latte Chai tea Coconut milk Unsalted butter MCT oil Cinnamon (optional) keto,"gluten_free,nut_free,egg_free,lactose_free,low_sodium,low_carb,low_sugar,low_cholesterol",Chai tea (200ml); Coconut milk (50ml); Unsalted butter (½ tbsp); MCT oil (½ tbsp); Cinnamon (optional) (pinch),"Step 1: Prep Chai tea | Use 200ml of chai tea as the base. | Step 2: Prepare Coconut milk | Chop or measure 50ml of coconut milk. | Step 3: Combine Ingredients | Mix the prepared ingredients in a bowl. | Step 4: Add Unsalted butter | Incorporate ½ tbsp of unsalted butter for flavor. | Step 5: Season | Add salt, pepper, or additional spices as needed. | Step 6: Set Aside | Chill or let the mixture rest for a few minutes if needed. | Step 7: Final Mix | Stir everything together to ensure even coating. | Step 8: Serve | Plate and enjoy your freshly prepared meal.",https://res.cloudinary.com/duegxp0u0/image/upload/v1745444885/gy1s53dlckmzdi1zrhzd.jpg
68395ed6a1f9120d4641a55c,Roasted Cauliflower,breakfast,mediterranean,weight_loss,150.0,4.0,13.0,9.0,5.0,62.0,0.0,25,2,Roasted Cauliflower Roasted Cauliflower Roasted Cauliflower Cauliflower Turmeric Olive oil mediterranean,"gluten_free,nut_free,egg_free,lactose_free,low_sodium,low_carb,low_sugar,low_cholesterol,dairy_free",Cauliflower (200g); Turmeric (5g); Olive oil (10ml),"Step 1: Preheat Oven | Set the oven to 200°C to preheat for roasting. |  | Step 2: Prep Cauliflower | Wash 200g cauliflower and cut into small florets. |  | Step 3: Dry Cauliflower | Pat the cauliflower florets dry with a towel to ensure crispiness. |  | Step 4: Measure Turmeric | Measure 5g ground turmeric into a large mixing bowl. |  | Step 5: Add Oil | Add 10ml olive oil to the bowl with the turmeric and stir to combine. |  | Step 6: Toss Cauliflower | Add cauliflower florets to the bowl and toss to coat evenly with the turmeric mixture. |  | Step 7: Roast Cauliflower | Spread the cauliflower on a baking sheet and roast for 20 minutes, flipping halfway. |  | Step 8: Serve Warm | Transfer to a plate, season with a pinch of salt if desired, and serve as a snack.",https://res.cloudinary.com/duegxp0u0/image/upload/v1748524449/mmzvv39s3eh3kwdfylhq.jpg
68395ec7a1f9120d4641a4be,Vegetable & Cheese Frittata,breakfast,vegetarian,weight_gain,480.0,35.0,20.0,32.0,2.0,800.0,400.0,35,3,Vegetable & Cheese Frittata Vegetable & Cheese Frittata Vegetable & Cheese Frittata Eggs Bell peppers Cheddar Olive oil Salt Black pepper vegetarian,"gluten_free,nut_free,low_carb,low_sugar",Eggs (6); Bell peppers (150g); Cheddar (100g); Olive oil (1 tbsp (3 tsp)); Salt (1/2 tsp); Black pepper (1/2 tsp),"Step 1: Preheat Oven | Preheat the oven to 180°C and grease a 9-inch oven-safe skillet with 1 tsp olive oil. | Step 2: Prepare Bell Peppers | Wash and dice 150g bell peppers into small pieces for even cooking. | Step 3: Sauté Vegetables | Heat 2 tsp olive oil in the skillet over medium heat, add bell peppers, and sauté for 5 minutes until softened. | Step 4: Whisk Eggs | In a large bowl, crack 6 eggs and whisk until smooth. | Step 5: Add Cheese | Stir 100g shredded cheddar into the eggs, reserving 20g for topping. | Step 6: Season Mixture | Add 1/2 tsp salt and 1/2 tsp black pepper to the egg mixture, stirring to combine. | Step 7: Combine and Bake | Pour the egg mixture over the sautéed bell peppers in the skillet, sprinkle reserved cheddar on top, and bake for 25 minutes until set. | Step 8: Serve | Let cool for 5 minutes, slice into wedges, and serve warm as a hearty breakfast.",https://res.cloudinary.com/duegxp0u0/image/upload/v1748525397/nzj2xgirywxfmctpgwog.jpg
68395eeaa1f9120d4641a680,Shredded Chicken & Cucumber Salad,lunch,desi,weight_loss,200.0,24.0,8.0,6.0,2.0,200.0,65.0,25,2,Shredded Chicken & Cucumber Salad Shredded Chicken & Cucumber Salad Shredded Chicken & Cucumber Salad Chicken Breast (boiled and shredded) Cucumber (chopped) Tomato (chopped) Onion (chopped) Fresh Coriander Lemon Juice Olive Oil Salt Black Pepper Mint Leaves (for garnish) desi,"gluten_free,nut_free,egg_free,lactose_free,low_sodium,low_sugar","Chicken Breast (boiled and shredded) (200g); Cucumber (chopped) (1 cup (150g)); Tomato (chopped) (1/2 cup (90g)); Onion (chopped) (1/4 cup (40g)); Fresh Coriander (Handful (assumed 10g, chopped)); Lemon Juice (1 tbsp (15ml)); Olive Oil (1 tsp (5g)); Salt (To taste (assumed 0.5g, pinch)); Black Pepper (To taste (assumed 0.5g, pinch)); Mint Leaves (for garnish) (For garnish (assumed 5g))","Step 1: Cook the Chicken : | Boil 200g boneless chicken breast with salt until fully cooked. Shred the chicken once cooled. | Step 2: Prepare the Salad : | In a mixing bowl, combine the shredded chicken, 1 cup chopped cucumber, 1/2 cup chopped tomatoes, 1/4 cup finely chopped onions, and a handful of chopped fresh coriander. | Step 3: Add Dressing : | For the dressing, mix 1 tbsp lemon juice, 1 tsp olive oil, salt, and black pepper to taste. | Step 4: Toss and Serve : | Toss the ingredients together and serve chilled with a garnish of mint leaves. | Step 5: Adjust Seasoning : | Taste and adjust seasoning with more salt, pepper, or lemon juice if desired. | Step 6: Optional Add-ins : | Add 1/4 cup boiled chickpeas or a sprinkle of roasted sunflower seeds for extra crunch. | Step 7: Garnish : | Top with extra fresh coriander or a drizzle of extra virgin olive oil for added flavor. | Step 8: Storage : | Store in an airtight container in the fridge for up to 2 days.",https://res.cloudinary.com/duegxp0u0/image/upload/v1745169120/recipe_uploads/kfcelihefhft3q378864.jpg
68395ef0a1f9120d4641a740,Kadhi Pulao with Fried Pakoras,lunch,desi,weight_gain,460.0,10.0,55.0,15.0,3.0,1080.0,10.0,60,3,Kadhi Pulao with Fried Pakoras Kadhi Pulao with Fried Pakoras Kadhi Pulao with Fried Pakoras Chickpea flour Basmati rice Yogurt Ginger garlic paste Green chilies Fried pakoras Salt Oil Water Onion Turmeric Red chili powder Cumin seeds Coriander leaves Water desi,"nut_free,egg_free,low_sugar","Chickpea flour (½ cup); Basmati rice (1 cup); Yogurt (1 cup); Ginger garlic paste (1 tbsp); Green chilies (2, whole); Fried pakoras (6); Salt (1 tsp); Oil (2 tbsp); Water (as needed); Onion (1 small, chopped); Turmeric (¼ tsp); Red chili powder (½ tsp); Cumin seeds (½ tsp); Coriander leaves (2 tbsp, chopped); Water (as needed)","Step 1: Gather Ingredients: Collect 1 cup yogurt, 2 tbsp chickpea flour (besan), ½ tsp turmeric, 1 tsp red chili powder, 1 tsp salt, 2 cups water (for kadhi), ½ cup besan (for pakoras), 1 tsp cumin seeds, oil for frying, 2 cups basmati rice, and 4 cups water (for rice). | Step 2: Prepare Kadhi Base: Whisk 1 cup yogurt with 2 tbsp chickpea flour, ½ tsp turmeric, 1 tsp red chili powder, 1 tsp salt, and 2 cups water until smooth. | Step 3: Cook Kadhi: Heat 1 tbsp oil in a pot, add 1 tsp cumin seeds, pour in the yogurt mixture, and simmer for 15-20 minutes, stirring occasionally, until thickened. | Step 4: Make Pakora Batter: Mix ½ cup besan with a pinch of salt, ½ tsp red chili powder, and water to form a thick batter. | Step 5: Fry Pakoras: Heat oil in a pan over medium heat, drop spoonfuls of batter into the oil, fry for 3-5 minutes until golden, and set aside on paper towels. | Step 6: Cook Rice: In a separate pot, boil 4 cups water with a pinch of salt, add 2 cups basmati rice, cook for 10-12 minutes until fluffy, then drain. | Step 7: Assemble and Serve: Plate the rice, pour the warm kadhi over it, top with fried pakoras, and serve hot.",https://res.cloudinary.com/duegxp0u0/image/upload/v1746770523/ktp2noiwrakdmowkh4v5.jpg
68395ef0a1f9120d4641a709,Matar Keema with Whole Wheat Roti,lunch,desi,weight_gain,473.0,15.0,35.0,15.0,5.0,1090.0,40.0,45,2,Matar Keema with Whole Wheat Roti Matar Keema with Whole Wheat Roti Matar Keema with Whole Wheat Roti Minced beef Green peas Onion Tomato Ghee Salt Red chili powder Turmeric powder Garam masala Whole wheat roti Whole wheat flour Coriander leaves Water Water Cumin powder Coriander powder desi,"nut_free,egg_free,low_sugar","Minced beef (250g); Green peas (½ cup); Onion (1 small, chopped); Tomato (1 medium, chopped); Ghee (2 tbsp); Salt (1 tsp); Red chili powder (½ tsp); Turmeric powder (¼ tsp); Garam masala (½ tsp); Whole wheat roti (4 pieces); Whole wheat flour (1 cup); Coriander leaves (2 tbsp, chopped); Water (½ cup); Water (¼ cup); Cumin powder (½ tsp); Coriander powder (½ tsp)","Step 1: Gather the Ingredients: Collect 3 tbsp ghee, 1 chopped onion, 1 tbsp ginger-garlic paste, 250g minced beef, 2 chopped tomatoes, 1 tsp salt, 1 tsp red chili powder, ½ tsp turmeric powder, 1 cup green peas, ½ tsp garam masala, 2 cups whole wheat flour, water for dough, and fresh coriander for garnish. | Step 2: Heat the Ghee: Melt 3 tbsp ghee in a pan over medium heat for 1-2 minutes until hot and fragrant. | Step 3: Sauté the Onions: Add 1 chopped onion and sauté for 5-7 minutes, stirring occasionally, until golden brown. | Step 4: Add Ginger-Garlic Paste: Stir in 1 tbsp ginger-garlic paste and cook for 1 minute until the raw aroma disappears. | Step 5: Cook the Minced Beef: Add 250g minced beef, breaking it apart, and cook for 8-10 minutes until it turns brown and the moisture evaporates. | Step 6: Season with Tomatoes and Spices: Mix in 2 chopped tomatoes, 1 tsp salt, 1 tsp red chili powder, and ½ tsp turmeric powder, cooking for 5-7 minutes until the tomatoes soften. | Step 7: Simmer with Green Peas: Stir in 1 cup green peas, reduce heat to low, cover, and cook for 10-15 minutes until the peas are tender, then sprinkle ½ tsp garam masala and mix well. | Step 8: Serve with Whole Wheat Roti: Knead 2 cups whole wheat flour with water into dough, roll into rotis, cook on a tawa for 1-2 minutes per side, and serve hot with the kheema matar, garnished with coriander.",https://res.cloudinary.com/duegxp0u0/image/upload/v1746775919/sv8jya1ntwajdot1n37i.jpg
68395eeaa1f9120d4641a6a9,Tinday (Round Gourd) Curry with Turmeric,lunch,desi,weight_loss,140.0,2.0,14.0,8.0,4.0,400.0,0.0,20,3,Tinday (Round Gourd) Curry with Turmeric Tinday (Round Gourd) Curry with Turmeric Tinday (Round Gourd) Curry with Turmeric Onion Tomato Cumin Seeds Turmeric Powder Coriander Powder Salt Oil desi,"gluten_free,nut_free,egg_free,lactose_free,low_sodium,low_sugar,low_cholesterol,dairy_free","Onion (1 medium (100g, chopped)); Tomato (1 medium (150g, chopped)); Cumin Seeds (1 tsp (2g)); Turmeric Powder (1/2 tsp (1g)); Coriander Powder (1 tsp (2g)); Salt (To taste (assumed 1 tsp, 3g)); Oil (1 tbsp (14g))","Step 1: Prepare Round Gourd: | Peel and chop 2-3 tinday (round gourd) into small pieces. | Step 2: Cook Spices: | In a pan, heat 1 tbsp oil, add 1 tsp cumin seeds, 1/2 tsp turmeric powder, and 1 tsp coriander powder. Cook for 1 minute. | Step 3: Add Tinday: | Add the chopped tinday and sauté for 5-7 minutes. | Step 4: Add Tomatoes: | Add 1 chopped tomato and cook for 2-3 minutes until soft. | Step 5: Add Water: | Add 1/2 cup water, salt to taste, and cook for another 10-12 minutes until the gourd is tender. | Step 6: Stir Occasionally: | Stir occasionally to prevent burning and ensure the gourd cooks evenly. | Step 7: Adjust Seasoning: | Taste and adjust salt or spices as needed. | Step 8: Serve: | Serve hot with chapati or rice.",https://res.cloudinary.com/duegxp0u0/image/upload/v1745169234/recipe_uploads/gxj5uw1j6eucklwjhtut.jpg
68395eeaa1f9120d4641a6ab,Gobi (Cauliflower) Masala with Cumin & Tomatoes,lunch,desi,weight_loss,100.0,3.0,12.0,4.0,4.0,400.0,0.0,20,5,Gobi (Cauliflower) Masala with Cumin & Tomatoes Gobi (Cauliflower) Masala with Cumin & Tomatoes Gobi (Cauliflower) Masala with Cumin & Tomatoes Cauliflower Onion Tomato Cumin Seeds Red Chili Powder Turmeric Powder Salt Oil Fresh Coriander (for garnish) desi,"gluten_free,nut_free,egg_free,lactose_free,low_sodium,low_sugar,low_cholesterol,dairy_free","Cauliflower (1 medium (500g, florets)); Onion (1 medium (100g, chopped)); Tomato (1 medium (150g, chopped)); Cumin Seeds (1 tsp (2g)); Red Chili Powder (1 tsp (2g)); Turmeric Powder (1/2 tsp (1g)); Salt (To taste (assumed 1 tsp, 3g)); Oil (1 tbsp (14g)); Fresh Coriander (for garnish) (As needed (assumed 1 tbsp, 3g))","Step 1: Prepare Cauliflower: | Cut 1 medium-sized cauliflower into florets. | Step 2: Cook Spices: | In a pan, heat 1 tbsp oil, add 1 tsp cumin seeds, and sauté for 30 seconds. | Step 3: Add Onions and Tomatoes: | Add 1 chopped onion and cook until golden brown. Then, add 1 chopped tomato and cook for another 2 minutes. | Step 4: Add Cauliflower: | Add the cauliflower florets, 1 tsp red chili powder, 1/2 tsp turmeric powder, and salt to taste. Mix well. | Step 5: Cook: | Add 1/4 cup of water, cover, and cook for 10-12 minutes until the cauliflower is tender. | Step 6: Stir Occasionally: | Stir the cauliflower occasionally to ensure even cooking and prevent burning. | Step 7: Adjust Seasoning: | Taste and adjust the salt or spices if necessary. | Step 8: Serve: | Garnish with fresh coriander and serve hot with roti or rice.",https://res.cloudinary.com/duegxp0u0/image/upload/v1745169239/recipe_uploads/umbnuskxhxmyjmz6gp9p.jpg
